年份,行业,原煤（吨）,汽油（吨）,煤油（吨）,柴油（吨）,燃料油（吨）,热力（百万千焦）,电力（万千瓦时）
1998,电力、热力的生产和供应业,2407041,781,0,6118,1423,2503848,67305
1999,电力、热力的生产和供应业,2522943,277,1,5747,1187,3526343,53447
2000,电力、热力的生产和供应业,2697976,340,2,5868,570,808500,51332
2001,电力、热力的生产和供应业,2664316,371,41,5123,846,392030,72131
2002,电力、热力的生产和供应业,3186829,392,21,14937,1610,1146334,51296
2003,电力、热力的生产和供应业,4375074,540,0,9802,0,1390388,22440
2004,电力、热力的生产和供应业,4959223,1106,0,11447,0,5214370,82555
2005,电力、热力的生产和供应业,5236217,861,0,6873,0,5332278,87707
2006,电力、热力的生产和供应业,4884894,821,0,5273,0,6074177,134840
2007,电力、热力的生产和供应业,5383947,697,0,6574,2740,2377677,164063
2008,电力、热力的生产和供应业,5106850,587,0,8889,0,1219546,159975
2009,电力、热力的生产和供应业,4728043,655,0,3665,0,1425888,175446
2010,电力、热力的生产和供应业,4588092,749,0,6623,0,1413809,202648
2011,电力、热力的生产和供应业,5826907,705,0,4796,0,6476,243878
2012,电力、热力的生产和供应业,5114131,646,0,2835,0,7903,215696
2013,电力、热力的生产和供应业,4219281.96,583.93,0,2550.91,0,1011.1,178489.97
2014,电力、热力的生产和供应业,4793102.62,684.48,0,1934.82,0,1,229185.28
2015,电力、热力的生产和供应业,4789698,549,0,2006,0,1,212386
2016,电力、热力的生产和供应业,4912130,84,0,1695,0,1,247731
2017,电力、热力的生产和供应业,4868093,64,0,1915,0,1,248909
2018,电力、热力的生产和供应业,5089526,63,0,1865,0,140706,152699
2019,电力、热力的生产和供应业,11412877,71,0,1814,410,2,2626285
2020,电力、热力的生产和供应业,10373049,23,0,2289,749,4767,267157
2021,电力、热力的生产和供应业,11740946,20,0,2842,1035,658517,290813
1998,电气机械及器材制造业,44770,1687,11,742,4644,207,8841
1999,电气机械及器材制造业,48729,1048,38,821,4708,219,9354
2000,电气机械及器材制造业,40803,1709,13,708,6330,364,7755
2001,电气机械及器材制造业,31013,1376,70,193,3541,590,10523
2002,电气机械及器材制造业,41485,1628,3,906,422,949,10831
2003,电气机械及器材制造业,38463,1924,7,982,0,823,7136
2004,电气机械及器材制造业,29254,1845,90,986,0,870,11424
2005,电气机械及器材制造业,27537,1080,16,854,0,2867,25329
2006,电气机械及器材制造业,23966,1933,30,2674,0,6404,17140
2007,电气机械及器材制造业,23901,2703,41,2492,0,5922,16940
2008,电气机械及器材制造业,33010,2027,66,626,0,3480,22736
2009,电气机械及器材制造业,29563,2785,47,639,0,1191,26898
2010,电气机械及器材制造业,28029,2092,50,560,0,632,23524
2011,电气机械及器材制造业,31401,1313,179,231,0,1,23174
2012,电气机械及器材制造业,25785,1561,67,144,0,0,19065
2013,电气机械及器材制造业,16097.78,1267.01,58.3,133.43,0,0,21203.4
2014,电气机械及器材制造业,12823.61,631.2,80.35,150.27,0,18651.04,24207.21
2015,电气机械及器材制造业,9363,777,41,109,0,17035,25733
2016,电气机械及器材制造业,6147,968,32,91,0,35323,25595
2017,电气机械及器材制造业,498,902,22,54,0,18094,20683
2018,电气机械及器材制造业,2,1210,12,65,0,22529,16118
2019,电气机械及器材制造业,0,648,6,91,0,27067,16479
2020,电气机械及器材制造业,0,293,12,30,0,0,31218
2021,电气机械及器材制造业,0,306,17,44,0,0,38041
1998,黑色金属冶炼及压延加工业,407979,2490,0,9007,18357,2289002,118124
1999,黑色金属冶炼及压延加工业,392678,2149,2,9076,15400,2188451,128682
2000,黑色金属冶炼及压延加工业,391648,2170,0,10012,455,2197770,130867
2001,黑色金属冶炼及压延加工业,382775,1656,1,7592,368,2162302,134091
2002,黑色金属冶炼及压延加工业,464242,2084,0,7449,3834,1806925,177179
2003,黑色金属冶炼及压延加工业,574194,1951,0,9203,34,1893930,238295
2004,黑色金属冶炼及压延加工业,770713,2047,0,9053,6940,0,297630
2005,黑色金属冶炼及压延加工业,1376871,2154,0,15457,11486,1739796,387673
2006,黑色金属冶炼及压延加工业,1772732,318,0,724,2579,1319119,421277
2007,黑色金属冶炼及压延加工业,1790299,120,0,12820,0,1756070,524074
2008,黑色金属冶炼及压延加工业,1889330,1646,6,12513,1176,0,486327
2009,黑色金属冶炼及压延加工业,1689976,1304,0,9725,9014,1317897,365694
2010,黑色金属冶炼及压延加工业,1857554,1427,0,8792,970,1559792,485596
2011,黑色金属冶炼及压延加工业,1746141,2191,0,12418,0,332014,596024
2012,黑色金属冶炼及压延加工业,1456175,1185,23,8791,0,286466,475526
2013,黑色金属冶炼及压延加工业,1274090.12,600.71,0,7032.95,0,102000,444817.01
2014,黑色金属冶炼及压延加工业,1197285.1,462.36,0,6520.95,0,139089,449845.74
2015,黑色金属冶炼及压延加工业,1004534,388,0,6221,0,678713,418563
2016,黑色金属冶炼及压延加工业,1197389,372,0,5855,0,137227,471791
2017,黑色金属冶炼及压延加工业,561149,269,0,3384,0,102898,253994
2018,黑色金属冶炼及压延加工业,0,13,0,7,0,244991,64992
2019,黑色金属冶炼及压延加工业,2804090,72,0,7414,0,242367,813659
2020,黑色金属冶炼及压延加工业,2353455,56,0,7014,0,158339,672641
2021,黑色金属冶炼及压延加工业,2128891,48,0,6642,0,125689,739661
1998,化学原料及化学制品制造业,765752,1357,2341,3113,28210,1390408,79950
1999,化学原料及化学制品制造业,873662,1976,4047,3416,29245,1364036,95706
2000,化学原料及化学制品制造业,1035016,7973,3543,18077,24884,1989647,109549
2001,化学原料及化学制品制造业,1053050,1181,3269,968,2470,446406,109539
2002,化学原料及化学制品制造业,796620,973,4541,1119,21557,243131,113198
2003,化学原料及化学制品制造业,1312579,1170,1443,2961,42097,426540,138725
2004,化学原料及化学制品制造业,1240366,1132,599,1284,40085,724928,153504
2005,化学原料及化学制品制造业,1220617,1826,1079,2381,29563,505117,146332
2006,化学原料及化学制品制造业,1584479,1601,1491,3746,18661,2165126,173360
2007,化学原料及化学制品制造业,1854969,1983,2052,3699,16092,717921,196065
2008,化学原料及化学制品制造业,1919988,2536,1889,17575,8750,2917657,206509
2009,化学原料及化学制品制造业,2078773,4041,1758,2924,4163,3052490,237185
2010,化学原料及化学制品制造业,2145388,1555,1431,8927,708,4775870,211742
2011,化学原料及化学制品制造业,1877474,1483,994,3422,618,3835308,238483
2012,化学原料及化学制品制造业,1664540,835,1006,1382,239,3499589,219442
2013,化学原料及化学制品制造业,1545117.02,877.55,1040,625.1,213.86,2930499.85,215466.45
2014,化学原料及化学制品制造业,1444870.67,592.82,1097,716.61,0,1774837.99,193833.99
2015,化学原料及化学制品制造业,1502685,621,968,905,0,1673106,214239
2016,化学原料及化学制品制造业,1472865,612,959,1062,0,1670308,195002
2017,化学原料及化学制品制造业,2048699,437,0,1129,0,1957557,189295
2018,化学原料及化学制品制造业,2821792,91,0,1086,0,2426985,174837
2019,化学原料及化学制品制造业,2741280,104,0,961,0,3710440,162370
2020,化学原料及化学制品制造业,2559591,42,0,1056,0,4364080,266646
2021,化学原料及化学制品制造业,2001506,52,0,746,0,2823113,249262
1998,食品制造业,16916,315,0,60,272,12295,1837
1999,食品制造业,6300,200,0,468,265,11958,1724
2000,食品制造业,10672,107,0,1075,209,14843,1106
2001,食品制造业,8096,129,0,1284,196,16271,2070
2002,食品制造业,8567,530,0,1624,183,15859,2899
2003,食品制造业,17673,535,0,3253,141,83243,2617
2004,食品制造业,33530,387,0,2418,0,25302,5698
2005,食品制造业,27560,421,17,1298,0,5747,4902
2006,食品制造业,32003,662,31,1681,0,16240,11774
2007,食品制造业,32785,1221,0,1285,0,390161,11418
2008,食品制造业,29486,1475,0,1112,0,495883,14576
2009,食品制造业,27465,1379,0,885,0,642663,12851
2010,食品制造业,12091,1086,0,777,0,645736,11517
2011,食品制造业,11574,942,0,687,0,273862,11974
2012,食品制造业,18623,318,0,684,0,252375,12301
2013,食品制造业,21811.58,374.39,0,737.76,0,273670.06,13480.09
2014,食品制造业,21219.91,392.64,0,639.75,153.43,359704.47,15988.29
2015,食品制造业,15911,570,0,651,41,527130,18216
2016,食品制造业,2470,426,0,710,82,520101,15596
2017,食品制造业,334,370,0,781,0,506085,16286
2018,食品制造业,0,128,0,758,0,317108,20856
2019,食品制造业,115577,91,0,638,0,427456,23639
2020,食品制造业,53352,159,0,351,0,335207,29563
2021,食品制造业,0,40,0,192,0,1180225,40001
1998,造纸及纸制品业,50159,435,89,668,483,312659,4758
1999,造纸及纸制品业,37628,389,78,791,521,330618,11845
2000,造纸及纸制品业,72937,441,73,263,545,383228,15944
2001,造纸及纸制品业,84546,2356,345,36,651,174286,8569
2002,造纸及纸制品业,106669,213,10,417,781,172853,6521
2003,造纸及纸制品业,137925,1276,7,544,960,258799,11219
2004,造纸及纸制品业,96582,678,7,634,0,210111,8757
2005,造纸及纸制品业,34391,206,2,66,428,145512,6989
2006,造纸及纸制品业,40362,362,1,29,345,20000,7358
2007,造纸及纸制品业,11520,102,0,96,283,16000,6182
2008,造纸及纸制品业,13675,355,0,391,0,18947,2964
2009,造纸及纸制品业,9704,462,0,198,210,18473,2908
2010,造纸及纸制品业,7933,456,0,252,179,0,4066
2011,造纸及纸制品业,5322,411,0,285,0,7949,3937
2012,造纸及纸制品业,3110,147,0,35,0,9195,3490
2013,造纸及纸制品业,2866.94,127.75,0,23.43,0,8555,5497.26
2014,造纸及纸制品业,4426,135.95,0,2.4,0,0,5930.63
2015,造纸及纸制品业,1380,95,0,2,0,0,6778
2016,造纸及纸制品业,0,91,0,9,0,0,6172
2017,造纸及纸制品业,128,33,0,2,0,0,6173
2018,造纸及纸制品业,0,19,0,13,0,213201,7131
2019,造纸及纸制品业,75382,14,0,6,0,269930,21644
2020,造纸及纸制品业,20842,16,0,11,0,318891,16538
2021,造纸及纸制品业,0,27,0,18,0,1089481,18102
